,node1,node2,relation
0,Cluster 0,Benedict Xvi,Cluster-Entity
1,Cluster 0,Oklahoma,Cluster-Entity
2,Cluster 8,Supreme Court,Cluster-Entity
3,Cluster 8,Drag Show Controversy,Cluster-Entity
4,Cluster 2,Oprah Winfrey,Cluster-Entity
5,Cluster 2,Glaad Media Awards,Cluster-Entity
6,Cluster 2,Gay Bar,Cluster-Entity
7,Cluster 2,Late Brother,Cluster-Entity
8,Cluster 2,Los Angeles,Cluster-Entity
9,Cluster 2,Tearful Tribute,Cluster-Entity
10,Cluster 2,Free Speech,Cluster-Entity
11,Cluster 2,Jeffrey Lee,Cluster-Entity
12,Cluster 5,Lds Church,Cluster-Entity
13,Cluster 5,Lgbtq,Cluster-Entity
14,Cluster 3,Busy Week,Cluster-Entity
15,Cluster 3,Lgbtq,Cluster-Entity
16,Cluster 3,Banning,Cluster-Entity
17,Cluster 3,Tiktok,Cluster-Entity
18,Cluster 3,U.S. Aid,Cluster-Entity
19,Cluster 3,Communities,Cluster-Entity
20,Cluster 3,Lgbtq,Cluster-Entity
21,Cluster 5,Ohio,Cluster-Entity
22,Cluster 5,Republican Ohio,Cluster-Entity
23,Cluster 5,Prominent Ohio U.S.,Cluster-Entity
24,Cluster 5,Lgbtq,Cluster-Entity
25,Cluster 5,Current Positions,Cluster-Entity
26,Cluster 5,Conservative,Cluster-Entity
27,Cluster 2,J.K. Rowling,Cluster-Entity
28,Cluster 2,Germany,Cluster-Entity
29,Cluster 2,Trans,Cluster-Entity
30,Cluster 2,Anti-Transgender Stances,Cluster-Entity
31,Cluster 2,Nazi Regime,Cluster-Entity
32,Cluster 2,Media Matters,Cluster-Entity
33,Cluster 2,Social Media,Cluster-Entity
34,Cluster 0,Toxicology,Cluster-Entity
35,Cluster 0,Marathon Debate,Cluster-Entity
36,Cluster 0,Benedict Xvi,Cluster-Entity
37,Cluster 0,Old Transgender Student,Cluster-Entity
38,Cluster 0,Indigenous Heritage,Cluster-Entity
39,Cluster 7,Lgbtq,Cluster-Entity
40,Cluster 7,Tough,Cluster-Entity
41,Cluster 7,Laws,Cluster-Entity
42,Cluster 7,Africa,Cluster-Entity
43,Cluster 7,American Hardliners,Cluster-Entity
44,Cluster 7,Gov,Cluster-Entity
45,Cluster 7,Appeals Court,Cluster-Entity
46,Cluster 7,Florida,Cluster-Entity
47,Cluster 7,Ron Desantis,Cluster-Entity
48,Cluster 7,Stop Woke,Cluster-Entity
49,Cluster 9,Darts Players,Cluster-Entity
50,Cluster 9,College Student,Cluster-Entity
51,Cluster 9,Riley Gaines,Cluster-Entity
52,Cluster 9,Ncaa,Cluster-Entity
53,Cluster 9,Transgender,Cluster-Entity
54,Cluster 9,Athletes,Cluster-Entity
55,Cluster 3,Lgbtq,Cluster-Entity
56,Cluster 3,U.S. Aid,Cluster-Entity
57,Cluster 3,New Orleans,Cluster-Entity
58,Cluster 3,U.S,Cluster-Entity
59,Cluster 9,Transgender,Cluster-Entity
60,Cluster 9,Ncaa,Cluster-Entity
61,Cluster 9,Lia Thomas,Cluster-Entity
62,Cluster 9,Pflag National,Cluster-Entity
63,Cluster 9,Title Ix,Cluster-Entity
64,Cluster 6,Movie Love,Cluster-Entity
65,Cluster 6,Bleeding,Cluster-Entity
66,Cluster 6,Queer,Cluster-Entity
67,Cluster 6,Queer Erotic Thriller,Cluster-Entity
68,Cluster 9,Ncaa,Cluster-Entity
69,Cluster 9,Sports,Cluster-Entity
70,Cluster 9,Trans,Cluster-Entity
71,Cluster 9,Athletes,Cluster-Entity
72,Cluster 9,Athletes,Cluster-Entity
73,Cluster 9,Transgender,Cluster-Entity
74,Cluster 9,Ncaa,Cluster-Entity
75,Cluster 9,Participation Policy,Cluster-Entity
76,Cluster 9,Sport Basis,Cluster-Entity
77,Cluster 6,Powell,Cluster-Entity
78,Cluster 6,Down,Cluster-Entity
79,Cluster 6,Lesbian News,Cluster-Entity
80,Cluster 6,Sydney Sweeney,Cluster-Entity
81,Cluster 6,Ben,Cluster-Entity
82,Cluster 6,Central Event,Cluster-Entity
83,Cluster 6,Bea,Cluster-Entity
84,Cluster 6,Hungary,Cluster-Entity
85,Cluster 6,Full Article,Cluster-Entity
86,Cluster 6,Pm,Cluster-Entity
87,Cluster 6,Sexual Revolution,Cluster-Entity
88,Cluster 6,Prime,Cluster-Entity
