,cluster,keywords,repre_news,rep_news,news_links
0,0,"benedict, nex, school, transgender, charge, death","100,102,27,169","{'102', '169', '27', '100'}","https://www.npr.org/2024/03/21/1240079971/nex-benedict-case-tulsa-da, https://abcnews.go.com/US/nex-benedict-fight-no-charges/story?id=108368542, https://www.advocate.com/news/womens-roller-derby-ny-transgender, https://www.nbcnews.com/nbc-out/out-politics-and-policy/county-restricted-trans-women-sports-roller-derby-league-said-no-way-rcna145444"
1,1,"state, city, right, sanctuary, tell, anti","130,173,154,156","{'156', '130', '154', '173'}","https://www.nbcnews.com/nbc-out/out-news/washington-lgbtq-history-schools-governor-law-rcna144991, https://www.advocate.com/news/states-with-lgbtq-curriculum, https://www.nbcnews.com/nbc-out/out-news/sacramento-sanctuary-city-transgender-people-rcna145287, https://www.cbsnews.com/sacramento/news/sanctuary-city-transgenders-sacramento/"
2,2,"new, glaad, anti, group, list","193,355,300,324","{'324', '300', '193', '355'}","https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_d12539e7-c63c-4488-9c26-f773cb3ba6ba, https://www.naturalnews.com/2024-04-12-hate-speech-poland-lgbt-three-years-prison.html, https://www.nbcnews.com/news/sports/dawn-staley-trans-athletes-allowed-play-womens-sports-rcna146745, https://www.naturalnews.com/2024-04-11-lgbtq-theme-books-most-challenged-library-books-2023.html"
3,3,"community, arrest, russia, new, owner, find","330,111,201,204","{'330', '201', '111', '204'}","https://www.advocate.com/news/tara-hoot-bomb-threats, https://www.forbes.com/sites/tylerroush/2024/03/23/evacuation-orders-lifted-after-series-of-bomb-threats-target-lancaster-pennsylvania/, https://www.dw.com/en/lgbtq-club-owner-arrested-in-russia-for-extremism/a-68709295, https://www.dw.com/en/lgbt-club-owner-arrested-in-russia-extremism/a-68709295"
4,4,"day, transgender, visibility, biden, trump, president","262,317,210,211","{'262', '211', '210', '317'}","https://www.advocate.com/politics/lara-trump-biden-transgender-events, https://www.advocate.com/news/out-for-biden-harris-launch, https://www.breitbart.com/politics/2024/03/30/joe-biden-declares-easter-sunday-transgender-day-of-visibility/, https://www.breitbart.com/politics/2024/03/31/caitlyn-jenner-absolutely-disgusted-with-biden-over-transgender-day-of-visibility/"
5,5,"face, senate, camp, north, candidate, win","260,326,81,59","{'260', '81', '326', '59'}","https://www.breitbart.com/social-justice/2024/04/04/north-face-among-sponsors-of-lgbtq-camp-where-12-year-olds-can-perform-in-drag/, https://www.naturalnews.com/2024-04-11-north-face-major-sponsor-lgbt-youth-camp.html, https://www.advocate.com/news/nicole-berner-lesbian-judge-confirmed, https://www.advocate.com/politics/bernie-moreno-ohio-republican-primary"
6,6,"star, scott, israel, transgenderism, change, final","312,368,230,83","{'230', '368', '312', '83'}","https://www.npr.org/2024/04/10/1198909655/siblings-sexuality-fraternal-birth-order-effect-justin-torres, https://www.breitbart.com/politics/2024/04/14/far-left-activists-chicago-filmed-cheering-irans-major-attack-israel-radical-left-sick/, https://www.naturalnews.com/2024-04-01-bezos-ex-wife-donations-migrant-invasion-transgenderism.html, https://www.nbcnews.com/nbc-out/out-news/lgbtq-nonprofits-mackenzie-scott-billionaire-amazon-rcna144245"
7,7,"gov, gender, governor, bill, vatican, surrogacy","235,232,296,299","{'299', '235', '232', '296'}","https://www.cbsnews.com/minnesota/news/wisconsin-governor-veto-transgender-high-school-athletics-ban-lgbtq-rights/, https://abcnews.go.com/US/wireStory/wisconsin-governor-vetoes-transgender-high-school-athletics-ban-108750696, https://www.nbcnews.com/news/world/vatican-blasts-gender-affirming-surgery-surrogacy-gender-theory-rcna146824, https://www.forbes.com/sites/roberthart/2024/04/08/vatican-condemns-gender-affirming-surgery-gender-theory-and-surrogacy-as-threats-to-human-dignity/"
8,8,"anti, law, court, year, rise, mpox","251,250,162,69","{'69', '251', '250', '162'}","https://www.nbcnews.com/news/world/ugandan-court-rejects-bid-nullify-anti-gay-law-death-penalty-rcna146155, https://www.nbcnews.com/nbc-out/out-news/ugandas-prominent-lgbtq-activist-says-newly-upheld-anti-gay-law-will-p-rcna146278, https://abcnews.go.com/Health/mpox-cases-double-same-time-year/story?id=108628263, https://www.advocate.com/crime/trans-migrant-shot-chicago"
9,9,"transgender, ban, bill, gender, marriage","146,58,152,151","{'58', '146', '151', '152'}","https://www.advocate.com/news/court-ken-paxton-transgender-pflag, https://www.nbcnews.com/nbc-out/out-news/caitlyn-jenner-backs-ny-countys-ban-trans-women-competing-womens-sport-rcna143896, https://www.cbc.ca/news/world/thailand-marriage-equality-bill-1.7156766, https://www.nbcnews.com/nbc-out/out-news/thailand-same-sex-marriage-bill-passes-parliament-rcna145239"
