,cluster,keywords,repre_news
0,0,"student, death, benedict, nex, charge","36,90,102,100"
1,1,"eurovision, boycott, growth, gaza, israel, song","192,172,274,21"
2,2,"bill, anti, ban, marriage, new, law","251,167,152,151"
3,3,"new, star, film, actor, audience, love","7,20,366,22"
4,4,"trump, new, republican, face, drag, health","230,83,59,63"
5,5,"community, sanctuary, city, transgender, group","229,34,154,175"
6,6,"transgender, sport, athlete, court, ban","239,235,81,331"
7,7,"gender, vatican, surrogacy, right, intersex, resolution","268,264,296,299"
8,8,"russia, right, face, hate, man, new","260,101,44,252"
9,9,"day, transgender, visibility, biden, president, trump","262,317,216,246"
