,ent_name,ent_link,ent_class,ent_conf
0,LGBTQ+,http://dbpedia.org/resource/LGBT,dbpedia-owl:Person,-0.5028095238095238
1,Metals,http://dbpedia.org/resource/Metal,dbpedia-owl:Person,-0.6866666666666666
2,new math,http://dbpedia.org/resource/New_Math,owl:Thing,-0.75
3,Full Article,http://dbpedia.org/resource/Unified_English_Braille,owl:Thing,-0.865
4,RT.com,http://dbpedia.org/resource/RT_(TV_network),dbpedia-owl:Organisation|dbpedia-owl:Person,0.5546904761904762
5,Republicans,http://dbpedia.org/resource/Republican_Party_(United_States),dbpedia-owl:Organisation,-0.52
6,Pete Buttigieg,http://dbpedia.org/resource/Pete_Buttigieg,dbpedia-owl:Person,0.9266666666666667
7,BBC,http://dbpedia.org/resource/BBC,dbpedia-owl:Organisation,0.71
8,transgender women,http://dbpedia.org/resource/Trans_woman,dbpedia-owl:Person,-0.8116986849697572
9,NCAA,http://dbpedia.org/resource/National_Collegiate_Athletic_Association,dbpedia-owl:Organisation|dbpedia-owl:Person,-0.62
10,Title IX,http://dbpedia.org/resource/Title_IX,owl:Thing,-0.65
11,Lia Thomas,http://dbpedia.org/resource/Lia_Thomas,owl:Thing,-0.8491071428571427
12,Kentucky,http://dbpedia.org/resource/Kentucky,dbpedia-owl:PopulatedPlace,-0.51
13,civil rights,http://dbpedia.org/resource/Civil_and_political_rights,dbpedia-owl:Person,-0.83
14,free speech,http://dbpedia.org/resource/Freedom_of_speech,dbpedia-owl:Person,-0.615
15,Walker Art Center,http://dbpedia.org/resource/Walker_Art_Center,,0.58
16,Loring Park,http://dbpedia.org/resource/Loring_Park,dbpedia-owl:PopulatedPlace,0.8805
17,Minneapolis,http://dbpedia.org/resource/Minneapolis,dbpedia-owl:PopulatedPlace,0.67
18,Chechnya,http://dbpedia.org/resource/Chechnya,dbpedia-owl:PopulatedPlace,0.525
19,beats per minute,http://dbpedia.org/resource/Tempo,owl:Thing,-0.6099999999999999
20,Michigan State University,http://dbpedia.org/resource/Michigan_State_University,dbpedia-owl:Organisation,0.6696000000000001
21,Pope Francis,http://dbpedia.org/resource/Pope_Francis,dbpedia-owl:Person,0.8
