,title,description,url,source_name,news_id,text
0,What happened to Nex Benedict?,"Benedict was attacked at their Oklahoma high school, and found dead at home the next day. The medical examiner's office says the nonbinary 16-year-old died by suicide. Their family has questions.",https://www.npr.org/2024/03/15/1238780699/nex-benedict-nonbinary-oklahoma-death-bullying,NPR,0,"What happened to Nex Benedict?. Benedict was attacked at their Oklahoma high school, and found dead at home the next day. The medical examiner's office says the nonbinary 16-year-old died by suicide. Their family has questions."
1,Supreme Court again refuses to intervene in drag show controversy,It was the second time the court has refused to step into a drag controversy this term.,https://www.npr.org/2024/03/15/1238906976/supreme-court-drag-shows,NPR,1,Supreme Court again refuses to intervene in drag show controversy. It was the second time the court has refused to step into a drag controversy this term.
2,Oprah Winfrey pays tribute at GLAAD Media Awards to gay brother who died from AIDS,"In an emotional speech during the GLAAD Media Awards in Los Angeles Thursday night, Oprah Winfrey paid a tearful tribute to her late brother, Jeffrey Lee, who died from AIDS in 1989 when he was just 29 years old.",https://www.nbcnews.com/news/us-news/oprah-winfrey-pays-tribute-glaad-media-awards-gay-brother-died-aids-rcna143589,NBC News,2,"Oprah Winfrey pays tribute at GLAAD Media Awards to gay brother who died from AIDS. In an emotional speech during the GLAAD Media Awards in Los Angeles Thursday night, Oprah Winfrey paid a tearful tribute to her late brother, Jeffrey Lee, who died from AIDS in 1989 when he was just 29 years old."
3,"From contradictions to compassion, the LDS Church struggles with LGBTQ+ inclusion","Despite assertions of immutability and consistency, The Church of Jesus Christ of Latter-day Saints’s positions on sexuality and gender have proven fragile and changeable across time. Throughout much of the 19th century, for example, plural marriage between a…",https://www.advocate.com/voices/lds-church-lgbtq,Advocate.com,3,"From contradictions to compassion, the LDS Church struggles with LGBTQ+ inclusion. Despite assertions of immutability and consistency, The Church of Jesus Christ of Latter-day Saints’s positions on sexuality and gender have proven fragile and changeable across time. Throughout much of the 19th century, for example, plural marriage between a…"
4,"Editor Q&A: Florida can 'say gay,' and what motivates LGBTQ+ voters","It was a busy week in LGBTQ+ news, and two Advocate editors sat down for a conversation about the latest headlines on Advocate Today. Up for discussion: a settlement on the ‘don't say gay’ bill in Florida, and a new poll that found restrictions on trans and a…",https://www.advocate.com/news/editor-chat-advocate-today,Advocate.com,4,"Editor Q&A: Florida can 'say gay,' and what motivates LGBTQ+ voters. It was a busy week in LGBTQ+ news, and two Advocate editors sat down for a conversation about the latest headlines on Advocate Today. Up for discussion: a settlement on the ‘don't say gay’ bill in Florida, and a new poll that found restrictions on trans and a…"
5,"Elliot Page on LGBTQ cinema: ‘I’m sorry, but this is not niche’","Speaking at the BFI Flare, London’s LGBTQ film festival, Elliot Page, whose new film is ""Close to You,"" took aim at the notion that queer films only have a small audience.",https://www.nbcnews.com/news/us-news/elliot-page-lgbtq-cinema-m-sorry-not-niche-rcna143645,NBC News,5,"Elliot Page on LGBTQ cinema: ‘I’m sorry, but this is not niche’. Speaking at the BFI Flare, London’s LGBTQ film festival, Elliot Page, whose new film is ""Close to You,"" took aim at the notion that queer films only have a small audience."
6,LGBTQ+ TikTokers: Banning app will 'eliminate' online communities & activism (exclusive),"The U.S. House of Representatives has voted to ban TikTok
, jeopardizing the LGBTQ+ users who have built communities on the platform, as well as the queer content creators whose livelihood depends on it.",https://www.advocate.com/exclusives/lgbtq-tiktok-ban-response,Advocate.com,6,"LGBTQ+ TikTokers: Banning app will 'eliminate' online communities & activism (exclusive). The U.S. House of Representatives has voted to ban TikTok
, jeopardizing the LGBTQ+ users who have built communities on the platform, as well as the queer content creators whose livelihood depends on it."
7,"Oprah, Niecy Nash, Out win big at GLAAD awards","The 35th GLAAD Media Awards were handed out Thursday evening in Beverly Hills, Calif., with Out — a sister publication of The Advocate — winning the 2024 GLAAD Media Award for Outstanding Magazine Overall Coverage.",https://www.advocate.com/media/oprah-niecy-out-glaad-awards,Advocate.com,7,"Oprah, Niecy Nash, Out win big at GLAAD awards. The 35th GLAAD Media Awards were handed out Thursday evening in Beverly Hills, Calif., with Out — a sister publication of The Advocate — winning the 2024 GLAAD Media Award for Outstanding Magazine Overall Coverage."
8,Republican Ohio senate candidate Bernie Moreno’s LGBTQ+ hypocrisy exposed,"Prominent Republican Ohio U.S. Senate candidate Bernie Moreno, once lauded for his advocacy and support within the LGBTQ+ community, now faces scrutiny over his current hardline conservative political positions and a past linked to an adult website profile.",https://www.advocate.com/news/bernie-moreno-ohio-hypocrisy,Advocate.com,8,"Republican Ohio senate candidate Bernie Moreno’s LGBTQ+ hypocrisy exposed. Prominent Republican Ohio U.S. Senate candidate Bernie Moreno, once lauded for his advocacy and support within the LGBTQ+ community, now faces scrutiny over his current hardline conservative political positions and a past linked to an adult website profile."
9,"Yes, J.K. Rowling, the Nazis persecuted trans people, burned books","J.K. Rowling, well known for her anti-transgender stances, recently questioned a social media post that said Germany’s Nazi regime burned books on trans health care, suggesting it might be a “fever dream” and that the poster should do some fact-checking. Well…",https://www.advocate.com/transgender/jk-rowling-nazis-persecuted-transgender,Advocate.com,9,"Yes, J.K. Rowling, the Nazis persecuted trans people, burned books. J.K. Rowling, well known for her anti-transgender stances, recently questioned a social media post that said Germany’s Nazi regime burned books on trans health care, suggesting it might be a “fever dream” and that the poster should do some fact-checking. Well…"
