,node1,node2,relation
0,Benedict Xvi,Oklahoma,was attacked at
1,Supreme Court,Drag Show Controversy,refuses
2,Oprah Winfrey,Glaad Media Awards,pays tribute at
3,Oprah Winfrey,Gay Bar,pays tribute to
4,Oprah Winfrey,Late Brother,paid tribute to
5,Glaad Media Awards,Los Angeles,is in
6,Oprah Winfrey,Tearful Tribute,paid
7,Oprah Winfrey,Free Speech,paid tribute In
8,Oprah Winfrey,Jeffrey Lee,paid tribute to
9,Lds Church,Lgbtq,struggles with
10,Busy Week,Lgbtq,is in
11,Banning,Communities,will eliminate
12,Tiktok,Lgbtq,jeopardizing
13,U.S. Aid,Tiktok,ban
14,Ohio,Lgbtq,’s
15,Ohio,Current Positions,now faces
16,Republican Ohio,Current Positions,now faces
17,Republican Ohio,Lgbtq,once lauded for
18,Ohio,Conservative,now faces
19,Prominent Ohio U.S.,Conservative,faces
20,Prominent Ohio U.S.,Current Positions,now faces
21,Republican Ohio,Conservative,faces
22,Prominent Ohio U.S.,Lgbtq,once lauded for
23,J.K. Rowling,Trans,persecuted
24,J.K. Rowling,Anti-Transgender Stances,known for
25,Germany,Nazi Regime,’s
26,J.K. Rowling,Media Matters,questioned
27,J.K. Rowling,Social Media,questioned
28,Toxicology,Benedict Xvi,say from
29,Marathon Debate,Old Transgender Student,death of
30,Benedict Xvi,Indigenous Heritage,student of
31,Lgbtq,Africa,is in
32,Tough,American Hardliners,are preceded by
33,Laws,American Hardliners,are preceded by
34,Gov,Florida,losing steam in
35,Appeals Court,Ron Desantis,blocked
36,Appeals Court,Stop Woke,blocked
37,Darts Players,Ncaa,sue
38,Darts Players,Transgender,sue NCAA over
39,College Student,Transgender,sue NCAA over
40,College Student,Ncaa,sue
41,Riley Gaines,Athletes,was among
42,Lgbtq,U.S. Aid,rights of be
43,Lgbtq,New Orleans,rights of be
44,Lgbtq,U.S,rights of be
45,Transgender,Pflag National,compete at
46,Ncaa,Transgender,allowing
47,Lia Thomas,Pflag National,compete at
48,Ncaa,Lia Thomas,allowing
49,Ncaa,Pflag National,allowing
50,Ncaa,Title Ix,is accused of
51,Movie Love,Bleeding,Lies
52,Movie Love,Queer,is
53,Movie Love,Queer Erotic Thriller,is
54,Ncaa,Trans,Against
55,Sports,Athletes,has joined
56,Athletes,Ncaa,sue
57,Athletes,Participation Policy,sue NCAA over
58,Transgender,Sport Basis,compete on
59,Powell,Ben,’s
60,Down,Central Event,is
61,Lesbian News,Central Event,is
62,Sydney Sweeney,Bea,’s
63,Hungary,Pm,’s
64,Full Article,Sexual Revolution,crowd at
65,Hungary,Prime,’s
66,Ryan Lanji,Lgbt,runs
67,Bookstore,Backlash,Nixes Drag Show After
68,Bookstore,Drag Queens,Nixes
69,Princeton University,Bank Card,has
70,Russian Authorities,Missouri,discovered
71,Russian Authorities,College Student,discovered
72,Northern Ireland,Lgbt Community,has
73,Women  Roller Derby League,Athletes,is standing up for
74,Women  Roller Derby League,York,is in
75,Colorado,Nation,May Become
76,Sheikh Shadi Asuleiman,Islam,face here of
77,Australia,Imam,has
78,Sheikh Shadi Asuleiman,Australia,is
79,Kingston,Grad,has
80,Kingston,Lgbtq,for
81,Raja Krishnamoorthi,Illinois,Democrat of
82,Mike Gallagher,Wisconsin,Republican of
83,Jenny Slate,New Orleans,talks
84,Shell,Shoes On.Also,is with
85,Lauren Bennett,Large Media Followings,have
86,Lauren Bennett,Media Matters,have
87,Fae Johnstone,Large Media Followings,have
88,Fae Johnstone,Social Media,have
89,Fae Johnstone,Media Matters,have
90,Lauren Bennett,Social Media,have
91,Eu,Anti-Gay Bill,plans
92,Eu,Lgbt,plans
93,Country ,Full Article,Read
94,Georgia,Lgbt,ban
95,Country ,Rt.Com,Read Article at
96,College Student,Police,speak with
97,Alabama,Backlash,sparked
98,Rocket,Reeducation Camp,has
99,Pete Buttigieg,Anti-Trans,takes on
100,Pete Buttigieg,Michigan,takes on bullies during
101,Southern California,School Board Members,oust
102,New York County,Transgender Female Athletes,has
103,Caitlyn Jenner,York,backs
104,Kentucky,Lgbtq,criminalize conduct after
105,Kentucky,Disruptive Conduct,criminalize
106,Transgender Rights,Free Speech,limit
107,Civil Rights,Free Speech,limit
108,Idaho,Busy Week,are expected
109,Illegal,Scotland,is in
110,Wisconsin,Libs,faces series after
111,Wisconsin,Bomb Threats,faces
112,Oklahoma District,Wisconsin,is in
113,Bartender,Transgender,charged for
114,Multnomah County Circuit Court,Portland,recently found
115,Byu,Utah,is in
116,Army,Biological Male,equipped pay package with
