,ent_link,news_id,cluster,ent_name,assigned_cluster,news_links,news_count
0,http://dbpedia.org/resource/ABC_News,90,[0],Abc News,0,https://abcnews.go.com/US/riley-strains-stepdad-opens-familys-difficult-conversations-nashville/story?id=108325499,1
1,http://dbpedia.org/resource/ANTI-,166,[8],Anti-,8,https://www.forbes.com/sites/ashleemariepreston/2024/03/28/glaads-new-report-on-anti-trans-hate-demands-action-from-meta/,1
2,http://dbpedia.org/resource/Accuracy_and_precision,70,[3],Accuracy,3,https://www.forbes.com/sites/marcberman1/2024/03/19/hollywoods-hebrew-helper-todd-shotz-seeks-accuracy-in-jewish-culture-and-presence/,1
3,http://dbpedia.org/resource/Activism,366,[3],Activist,3,https://www.breitbart.com/entertainment/2024/04/13/watch-dr-phil-audience-laughs-after-trans-activist-says-3-year-olds-know-who-they-are/,1
4,http://dbpedia.org/resource/Adolf_Hitler,240,[4],Of Hitler,4,https://www.forbes.com/sites/maryroeloffs/2024/04/02/kanye-west-accused-of-hitler-praising-and-racist-behavior-in-new-lawsuit-by-former-donda-academy-employee/,1
5,http://dbpedia.org/resource/Advice_and_consent,81,[6],Confirmed By The U.S. Senate,6,https://www.advocate.com/news/nicole-berner-lesbian-judge-confirmed,1
6,http://dbpedia.org/resource/Advocacy,219,[8],Advocacy,8,https://www.forbes.com/sites/ashleemariepreston/2024/04/01/meet-the-team-behind-glaads-black-lgbtq-media-advocacy/,1
7,http://dbpedia.org/resource/Advocacy_group,"98,166","[2, 8]",Advocacy Group,2,"https://www.abc.net.au/news/2024-03-22/nsw-laws-banning-gay-conversion-therapy-pass-parliament/103618786, https://www.forbes.com/sites/ashleemariepreston/2024/03/28/glaads-new-report-on-anti-trans-hate-demands-action-from-meta/",2
8,http://dbpedia.org/resource/Affirmation_in_law,51,[6],Affirms,6,https://www.breitbart.com/sports/2024/03/18/minnesota-appeals-court-affirms-state-law-preventing-ban-trans-athletes/,1
9,http://dbpedia.org/resource/Africa,11,[2],Africa,2,https://www.dw.com/en/lgbtq-in-africa-how-the-us-far-right-whips-up-homophobia/a-68562333,1
10,http://dbpedia.org/resource/Alabama,"80,87,73,37","[6, 2, 6, 6]",Alabama,6,"https://www.advocate.com/law/alabama-judge-shopping, https://www.nbcnews.com/nbc-out/out-politics-and-policy/alabama-lawmakers-advance-expansion-dont-say-gay-law-rcna144364, https://www.nbcnews.com/nbc-out/out-news/lgbtq-rights-lawyers-face-potential-sanctions-alabama-judge-shopping-rcna144324, https://www.advocate.com/news/libs-of-tiktok-space-camp",4
11,http://dbpedia.org/resource/Aliyah,"368,192","[4, 1]",To Israel,4,"https://www.breitbart.com/politics/2024/04/14/far-left-activists-chicago-filmed-cheering-irans-major-attack-israel-radical-left-sick/, https://www.forbes.com/sites/jamesfarrell/2024/03/29/nine-eurovision-acts-call-for-israel-hamas-cease-fire-but-will-stop-short-of-boycott/",2
12,http://dbpedia.org/resource/Amazon.com,"86,83","[4, 4]",Amazon,4,"https://www.bbc.co.uk/news/world-us-canada-68609687, https://www.nbcnews.com/nbc-out/out-news/lgbtq-nonprofits-mackenzie-scott-billionaire-amazon-rcna144245",2
13,http://dbpedia.org/resource/American_Broadcasting_Company,342,[3],Abc,3,https://www.forbes.com/sites/jeffconway/2024/04/12/actor-oliver-stark-opens-up-about-his-9-1-1-characters-journey/,1
14,http://dbpedia.org/resource/American_Cancer_Society,75,[2],American Cancer Society,2,https://www.advocate.com/health/cancer-risk-lgbtq-homophobia,1
15,http://dbpedia.org/resource/American_Library_Association,"294,282,324","[2, 2, 2]",American Library Association,2,"https://www.nbcnews.com/nbc-out/out-news/banned-books-lgbtq-library-association-rcna146236, https://abcnews.go.com/US/report-lgbtq-content-drove-book-banning-efforts-2023/story?id=108992375, https://www.naturalnews.com/2024-04-11-lgbtq-theme-books-most-challenged-library-books-2023.html",3
16,http://dbpedia.org/resource/Amusement_park,"129,159,160","[1, 6, 6]",Theme Park,6,"https://www.bbc.co.uk/news/business-68653311, https://www.bbc.co.uk/news/world-us-canada-68675795, https://www.cbc.ca/news/world/disney-desantis-lawsuit-settled-1.7157648",3
