,news_id,node1,node2,relation
0,0,Pope Francis,Deplorable,Calls
1,0,The Catholic leader,likely,is
2,0,The Catholic leader,LGBT community,roil
3,0,The Catholic leader,stance on surrogacy,’s
4,0,The Catholic leader,likely,is
5,0,The Catholic leader,LGBT community,roil
6,1,France,Historic New Prime Minister,Has
7,1,France,Historic Prime Minister,Has
8,1,France,New Prime Minister,Has
9,1,France,Prime Minister,Has
10,1,Attal,youngest,is
11,2,Ohio,sports ban,override
12,2,Ohio,governor 's veto,override
13,2,Ohio,trans care,override sports ban on
14,2,Ohio,Mike DeWine,override
15,2,Mike DeWine,veto,’s
16,4,Ohio,DeWine,overrides
17,4,DeWine,veto of bill banning,’s
18,4,Ohio,DeWine,overrides
19,5,Our Flag,comedy Max,Means Death runs aground
20,5,comedy Max,cancelled,show
21,5,Our Flag,comedy Max,Means Death runs
22,5,comedy Max,2 seasons,cancelled after
23,5,Our Flag,comedy Max,Means Death runs aground
24,5,comedy Max,cancelled after 2 seasons,show
25,5,Our Flag,comedy Max,Means Death runs
26,5,comedy Max,Warner Bros,has
27,5,comedy Max,comedy Max,has
28,5,comedy Max,Warner Bros,has
29,7,France,Gabriel Attal,gets
30,7,France,its minister,gets
31,7,France,its ever prime minister,gets
32,7,France,its prime minister,gets
33,7,France,its ever minister,gets
34,7,Gabriel Attal,France,has as
35,7,Gabriel Attal,France,has as
36,7,Gabriel Attal,France,has as
37,7,Gabriel Attal,France,has as
38,8,extremist organisation,Russia,is in
39,10,his favorite jobs,Hawaii,is in
40,10,He,Hawaii,found
41,10,He,Hawaii,found
42,11,Chris Christie,his 2024 presidential campaign,end
43,11,Chris Christie,his 2024 campaign,end
44,11,New Jersey Gov.,his 2024 campaign against Trump,is ending
45,11,New Jersey Gov.,his 2024 campaign,is ending
46,11,New Jersey Gov.,his 2024 presidential campaign,is ending
47,11,New Jersey Gov.,his 2024 presidential campaign against Trump,is ending
48,12,Louisiana,ban on gender affirming health care,over
49,12,Trans youth,Louisiana,sue over
50,12,Trans youth,Louisiana,sue over
51,12,Trans youth,Louisiana,sue over
52,12,Trans youth,Louisiana,sue over
53,13,Mexico,trans lawmaker man dressed as woman,apologizes for
54,13,Mexico,trans lawmaker man,apologizes for
55,13,Mexico,trans lawmaker man dressed,apologizes for
56,13,Mexico,calling trans lawmaker man dressed as woman,apologizes for
57,13,Mexico,calling trans lawmaker man dressed,apologizes for
58,13,Mexico,calling trans lawmaker man,apologizes for
59,13,Andres Manuel Lopez Obrador,representative,apologized for
60,13,Andres Manuel Lopez Obrador,transgender representative of his party,apologized for
61,13,Andres Manuel Lopez Obrador,Salma Luevano,apologized for
62,13,Andres Manuel Lopez Obrador,Tuesday,apologized on
63,13,Andres Manuel Lopez Obrador,representative of his political party,apologized for
64,13,Andres Manuel Lopez Obrador,misgendering Salma Luevano,apologized for
65,13,Andres Manuel Lopez Obrador,transgender representative,apologized for
66,13,Andres Manuel Lopez Obrador,transgender representative of his political party,apologized for
67,13,Andres Manuel Lopez Obrador,representative of his party,apologized for
68,14,Joey Barton,sports minister,says
69,14,Joey Barton,sports minister,says
70,15,Christian Ziegler,Florida Republican Party,ousted as
71,15,Christian Ziegler,chair,ousted as
72,15,Christian Ziegler,rape allegation,ousted after
73,15,Christian Ziegler,Florida Republican Party,ousted as
74,15,Christian Ziegler,rape allegation,ousted after
75,15,Christian Ziegler,chair,ousted as
76,15,their,Christian Ziegler,chairman
77,15,Florida Republican Party,Christian Ziegler,remove
78,15,Florida Republican Party,Florida Republican Party,remove
79,16,Bill Ackman,Fighting,Is
80,16,Bill Ackman,Fighting,Is
81,16,Harvard president,University of Pennsylvania,University of
82,17,Andrew Scott,his vulnerability,was startled by
83,17,Andrew Scott,his vulnerability in,was startled by
84,17,Andrew Scott,lonely screenwriter working,plays
85,17,Andrew Scott,lonely gay screenwriter working,plays
86,17,Andrew Scott,gay screenwriter working,plays
87,17,Andrew Scott,gay screenwriter working on script about his childhood,plays
88,17,Andrew Scott,lonely screenwriter working on script,plays
89,17,Andrew Scott,screenwriter,plays
90,17,Andrew Scott,gay screenwriter,plays
91,17,Andrew Scott,lonely gay screenwriter working on script,plays
92,17,Andrew Scott,lonely gay screenwriter,plays
93,17,Andrew Scott,screenwriter working,plays
94,17,Andrew Scott,lonely screenwriter working on script about his childhood,plays
95,17,Andrew Scott,new film,In
96,17,Andrew Scott,lonely gay screenwriter working on script about his childhood,plays
97,17,Andrew Scott,lonely screenwriter,plays
98,17,Andrew Scott,Andrew Scott,plays screenwriter In
99,17,Andrew Scott,gay screenwriter working on script,plays
100,17,Andrew Scott,Andrew Scott,plays screenwriter In
101,17,Andrew Scott,screenwriter working on script about his childhood,plays
102,17,Andrew Scott,screenwriter working on script,plays
103,18,Saudi Pro League,new Plymouth,improved
104,18,Saudi Pro League,new Plymouth,improved
105,18,Saudi Pro League,new Plymouth,improved
106,18,Saudi Pro League,new Plymouth,improved
107,18,Ian Foster,BBC Sport,tells
108,18,his time,Saudi Pro League,is in
109,19,Transgender Health,2024,Restrict Endure in
110,20,Christian Imagery,Christ,is in
111,20,Christ,Christian Imagery,fits in
112,20,Christ,Christian Imagery,fits in
113,20,Christ,history,fits in
114,20,Christ,Christian Imagery,fits in
115,20,Christ,Christian Imagery,fits in
116,20,Christ,history,fits in
117,20,Christ,Christian Imagery,fits in
118,20,Christian Imagery,pop music,is in
119,20,Christ,Christian Imagery,fits in
120,20,Christ,Christian Imagery,fits in
121,20,Christ,Christian Imagery,fits in
122,21,Lululemon,Chip Wilson,call
123,21,Lululemon,Chip Wilson,call
124,21,Lululemon,Chip Wilson,call
125,21,Lululemon,company 's response,call
126,21,Lululemon,Chip Wilson,call
127,21,Chip Wilson,comments on slap in face to people of color,to
128,21,Lululemon,Chip Wilson,call
129,21,Lululemon,Chip Wilson,call
130,21,Lululemon,Chip Wilson,call
131,21,Lululemon,has long plagued,has
132,21,Lululemon,has long plagued with diversity issues,has
133,21,Lululemon,has plagued,has
134,21,Lululemon,has plagued with diversity issues,has
135,24,Florida,Dictionaries,Sued for
136,24,Florida,War,Sued in
137,24,Florida,Dictionaries,Sued for
138,24,Florida,Dictionaries,Sued for
139,24,Florida,War on Books,Sued in
140,24,Florida,Latest War,Sued in
141,24,Florida,Latest War on Books,Sued in
142,24,Florida,Dictionaries,Sued for
143,25,Vaccines,2024,Get in
144,25,RSV shots,The New,recommendations
145,25,The New,RSV shots,include
146,26,Ohio,governor 's veto of care ban,overrides
147,26,Ohio,governor 's veto of affirming care ban,overrides
148,26,Ohio,governor 's veto,overrides
149,26,Ohio,governor 's veto of gender affirming care ban,overrides
150,27,South Florida school district,volleyball player,family of
151,27,South Florida school district,volleyball player,family of
152,28,Adam Schiff,TV ad targets,has
153,28,California,spots for their U.S. Senate race,are vying in
154,28,California,spots,are vying in
155,28,Adam Schiff,same audience,are vying for
156,28,California,same audience,are vying for
157,28,Adam Schiff,spots for their U.S. Senate race,are vying in
158,28,California,audience,are vying for
159,28,Adam Schiff,audience,are vying for
160,28,Adam Schiff,spots,are vying in
161,30,Alabama,ban,can enforce
162,30,Alabama,ban on care,can enforce
163,30,Alabama,ban on care for trans minors,can enforce
164,30,Alabama,ban on affirming care for trans minors,can enforce
165,30,Alabama,ban on gender affirming care,can enforce
166,30,Alabama,ban on gender affirming care for trans minors,can enforce
167,30,Alabama,ban for trans minors,can enforce
168,30,Alabama,ban on affirming care,can enforce
169,31,Caitlyn Jenner,Disney,Lashes Out at
170,31,Disney,its CEO,Jenner
171,31,Caitlyn Jenner,Kardashians,blaming company for
172,31,Caitlyn Jenner,Disney,slammed
173,31,Caitlyn Jenner,company,blaming
174,31,Caitlyn Jenner,her exclusion,blaming company for
175,32,American,news,should cheer
176,33,Highest,Gender Dysphoria,Surges in
177,33,Gender Dysphoria,distress,is strong
178,34,Netflix,Indian film,removed
179,34,Netflix,Indian film,removed
180,34,Hindu group,complaint,filed
181,34,Hindu group,complaint,filed
182,36,Mastodon,Taliban,disappeared because
183,36,queer.af,Taliban,disappeared because
184,36,Taliban,its domain,disabled
185,36,Mastodon,surprised,was of
186,37,Republican candidate,pro-LGBTQ agenda,has
187,37,Donald Trump Jr,Republican candidate,exposing
188,37,Donald Trump Jr,Monday,highlighted ad on
189,37,Donald Trump Jr,Republican candidate,exposing
190,37,Donald Trump Jr,ad,highlighted
191,38,Polish state,past anti-LGBT output,decries
192,38,Polish state,past output,decries
193,38,Polish state,past output,decries
194,38,Polish state,past anti-LGBT output,decries
195,38,Wojciech Szelag,TVP Info,apologised for
196,38,Wojciech Szelag,TVP Info,apologised for
197,38,Wojciech Szelag,TVP Info,apologised for
198,38,Wojciech Szelag,TVP Info,apologised for
199,38,TVP Info,hateful words targeted at them,for
200,38,Wojciech Szelag,TVP Info,apologised for
201,38,Wojciech Szelag,TVP Info,apologised for
202,39,Super Bowl,year,see For
203,39,Super Bowl,2nd straight year,see For
204,39,Super Bowl,2nd year,see For
205,39,Super Bowl,straight year,see For
206,40,Something,Kansas City Chiefs,Say
207,40,Something,Kansas City Chiefs,Say
208,40,Bud Light,Something,Has
209,40,Bud Light,has surrounded by controversy in months,has
210,40,Bud Light,While has surrounded by controversy,has
211,40,Bud Light,has surrounded by controversy in recent months,has
212,40,time,Kansas City Chiefs,weigh in on
213,40,Bud Light,While has surrounded by controversy in recent months,has
214,40,Bud Light,While has surrounded by controversy in months,has
215,40,Bud Light,has surrounded by controversy,has
216,41,Super Bowl,Meltdown,Sends Internet Into
217,41,Super Bowl,Internet,Sends
218,41,Taylor Swift,Super Bowl,has
219,41,Travis Kelce,her support,show
220,41,Taylor Swift,Travis Kelce,went out
221,41,Taylor Swift,all,went out
222,41,Travis Kelce,her support for her man,show
223,42,Patrick Mahomes,social media,shared edition merchandise on
224,42,Patrick Mahomes,edition merchandise,shared
225,42,Patrick Mahomes,discount code,even gave
226,42,Patrick Mahomes,social media,shared edition merchandise on
227,42,Patrick Mahomes,limited edition merchandise,shared
228,42,Patrick Mahomes,fans,even gave
229,42,Patrick Mahomes,fans,gave
230,42,Patrick Mahomes,discount code,gave
231,43,Travis Kelce,Super Bowl,Gesture at
232,43,Taylor Swift,Super Bowl,has
233,43,Travis Kelce,one her songs,danced to
234,43,Travis Kelce,one of her songs,danced to
235,44,Super Bowl,Go Viral,Go
236,44,Taylor Swift,her lucky number,used
237,44,it,NFL,has
238,44,it,NFL,has
239,44,Taylor Swift,her number,used
240,45,Super Bowl Fans,Justin Bieber,Outraged Over
241,45,former,Super Bowl Fans,in
242,45,he,Super Bowl Fans,appear in
243,45,Usher,record label,signed Justin Bieber to
244,45,Usher,Justin Bieber,signed
245,46,Lip Readers,Super Bowl,De-Code
246,46,Lip Readers,Kylie Kelce,De-Code
247,46,pair,Taylor Swift,were spotted in
248,46,Taylor Swift,dad,with
249,46,pair,Taylor Swift,were spotted in
250,47,Bill Ackman,Harvard,’s
251,47,Bill Ackman,him public face,has made
252,47,Bill Ackman,him face of billionaire class,has made
253,47,Bill Ackman,him face,has made
254,47,Bill Ackman,him public face of billionaire class,has made
255,48,head House,elections,foreshadows
256,48,head House,national elections,foreshadows
257,48,head House,New York,foreshadows elections In
258,48,special election,seen,is
259,48,special election,seen,is
260,48,special election,Long Island,is in
261,49,Silicon Valley,Harvard,Has
262,49,Silicon Valley,so suspicious of original belief,grown
263,49,Silicon Valley,suspicious,grown
264,49,Silicon Valley,suspicious of belief,grown
265,49,Silicon Valley,suspicious of original belief,grown
266,49,Silicon Valley,so suspicious of belief,grown
267,49,Silicon Valley,so suspicious,grown
268,50,Simon Fanshawe,University of Edinburgh,named as
269,50,Simon Fanshawe,University of Edinburgh,named as
270,50,women,women's rights,of
