,news_id,subject,relation,object,node1_t1,node2_t1,node1_t2,node2_t2,node1_t3,node2_t3
4,0,leader ’s stance,roil,LGBT community,['leader ’ s stance'],['lgbt'],leader  stance,LGBT community,Leader  Stance,Lgbt Community
12,1,France,Has,Historic New Prime Minister,['france'],"['historic', 'prime']",France,historic,France,Historic
13,1,France,Has,Historic Prime Minister,['france'],['historic prime'],France,historic prime,France,Prime
18,2,Ohio House votes,override,sports ban,"['ohio', 'house votes']",['sports ban'],Ohio,sports ban,Ohio,Sports Ban
19,2,Ohio House votes,override,governor 's veto,"['ohio', 'house votes']","[""governor 's veto""]",Ohio,governor  veto,Ohio,Governor  Veto
20,2,Ohio House votes,override sports ban on,trans care,"['ohio', 'house votes']",['trans care'],Ohio,trans care,Ohio,Trans
21,2,Ohio House,override,Gov. Mike DeWine ’s veto,['ohio'],"['gov', 'mike dewine', '’ s veto']",Ohio,gov,Ohio,Gov
23,4,Ohio House,overrides,DeWine ’s veto of bill,['ohio'],"['dewine', '’ s veto']",Ohio,DeWine,Ohio,Dewine
26,4,state Senate,will convene in,January,['state senate'],['january'],Polish state,january,Polish State,January
28,5,Our Flag,Means Death runs aground,queer pirate comedy Max show,['flag'],"['queer pirate comedy', 'max']",flag,queer pirate comedy,Flag,Queer Pirate Comedy
33,5,Our Flag,Means,Death runs,['flag'],['death'],flag,death,Flag,Death
37,5,Max 's beloved comedy pirate series,has,has sunk by Warner Bros.,"['max', 'comedy pirate series']",['warner bros'],comedy Max,Warner Bros,Comedy Max,Warner Bros
38,5,Max,has,beloved comedy pirate series,['max'],['comedy pirate series'],comedy Max,comedy pirate series,Comedy Max,Queer Pirate Comedy
49,6,FTC,’s,first ban on selling sensitive location data,['ftc'],['sensitive location data'],ftc,sensitive location data,Ftc,Sensitive Location Data
53,7,France,gets,Gabriel Attal,['france'],['gabriel attal'],France,Attal,France,Attal
55,7,France,gets,its ever prime minister,['france'],['prime minister'],France,prime minister,France,Prime
59,7,Gabriel Attal,has as,has France ’s ever minister,['gabriel attal'],"['france', '’ s']",Attal,France,Attal,France
68,8,extremist organisation,is in,Russia,['extremist organisation'],['russia'],extremist organisation,Russia,Extremist Organisation,Russia
72,9,France,’s,youngest prime minister,['france'],['prime minister'],France,prime minister,France,Prime
73,9,Gabriel Attal,becomes,France ’s youngest prime minister,['gabriel attal'],"['france', '’ s', 'prime minister']",Attal,France,Attal,France
80,10,his favorite jobs,is in,Hawaii,['favorite jobs'],['hawaii'],favorite jobs,Hawaii,Favorite Jobs,Hawaii
85,11,Chris Christie,end,his 2024 presidential campaign,['chris christie'],['presidential campaign'],Chris Christie,presidential campaign,Chris Christie,Presidential Campaign
87,11,Former New Jersey Gov. Chris Christie,is ending,his 2024 campaign against Trump,"['jersey gov', 'chris christie']",['trump'],jersey gov,trump,Gov,Trump
89,11,Former New Jersey Gov. Chris Christie,is ending,his 2024 presidential campaign,"['jersey gov', 'chris christie']",['presidential campaign'],jersey gov,presidential campaign,Gov,Presidential Campaign
91,12,Louisiana,over,ban on gender affirming health care,['louisiana'],['health care'],Louisiana,Transgender Health,Louisiana,Transgender Health
92,12,Trans youth,sue over,Louisiana 's ban on gender affirming health care,['trans'],"['louisiana', ""'s ban"", 'health care']",trans,Louisiana,Trans,Louisiana
97,13,Mexico president,apologizes for,trans lawmaker man dressed as woman,['mexico'],['trans lawmaker man'],Mexico,trans lawmaker man,Mexico,Trans Lawmaker Man
104,13,Mexico President Andres Manuel Lopez Obrador,apologized for,transgender representative of his party,"['mexico', 'andres manuel lopez obrador']",['transgender representative'],Mexico,Transgender Health,Mexico,Transgender Health
105,13,Mexico President Andres Manuel Lopez Obrador,apologized for,Salma Luevano,"['mexico', 'andres manuel lopez obrador']",['salma luevano'],Mexico,salma luevano,Mexico,Salma Luevano
107,13,Mexico President Andres Manuel Lopez Obrador,apologized for,representative of his political party,"['mexico', 'andres manuel lopez obrador']",['political party'],Mexico,political party,Mexico,Political Party
111,13,misgendering Salma Luevano,representative of,his political party,['salma luevano'],['political party'],salma luevano,political party,Salma Luevano,Political Party
113,14,Barton comments dangerous,says,sports minister,['barton'],['sports minister'],Joey Barton,sports minister,Joey Barton,Sports Ban
115,15,Christian Ziegler,ousted as,chair of Florida Republican Party,['ziegler'],['florida republican'],Christian Ziegler,Florida,Christian Ziegler,Florida
117,15,Ziegler,ousted after,rape allegation,['ziegler'],['rape allegation'],Christian Ziegler,rape allegation,Christian Ziegler,Rape Allegation
126,15,Florida Republicans,remove,Christian Ziegler,['florida'],['ziegler'],Florida,Christian Ziegler,Florida,Christian Ziegler
127,15,Florida Republicans,remove,their state party chairman,['florida'],['state party chairman'],Florida,state party chairman,Florida,State Party Chairman
128,16,Bill Ackman,Is,Fighting,['bill ackman'],['fighting'],Bill Ackman,fighting,Bill Ackman,Fighting
130,16,Harvard president Claudine Gay,University of,Pennsylvania,"['harvard', 'claudine gay']",['pennsylvania'],Harvard,pennsylvania,Harvard,Pennsylvania
134,17,Andrew Scott,plays,lonely gay screenwriter working,['andrew scott'],['gay screenwriter'],Andrew Scott,gay screenwriter,Andrew Scott,Gay Screenwriter
144,17,Andrew Haigh,In,new film,['andrew haigh'],['new film'],Andrew Haigh,The New,Andrew Haigh,The New
147,17,Andrew Scott,plays screenwriter In,Andrew Haigh ’s new film,['andrew scott'],"['andrew haigh', '’ s', 'new film']",Andrew Scott,Andrew Haigh,Andrew Scott,Andrew Haigh
152,18,Pro League,improved,new Plymouth boss,['pro'],['plymouth'],pro,new Plymouth,Pro,New Plymouth
154,18,Saudi Pro League,improved,new Plymouth boss,['saudi pro'],['plymouth'],Saudi Pro League,new Plymouth,Saudi Pro League,New Plymouth
156,18,New Plymouth Argyle head coach Ian Foster,tells,BBC Sport,"['plymouth argyle', 'head coach', 'ian foster']",['bbc sport'],new Plymouth,BBC Sport,New Plymouth,Bbc Sport
161,19,state legislatures,are considering,new round,['state legislatures'],['new round'],Polish state,The New,Polish State,The New
171,20,Lil Nas X Repurposes Christian Imagery,is in,J Christ,"['lil nas x repurposes', 'imagery']",['j christ'],lil nas x repurposes,Christ,Lil Nas X,Christ
173,20,Lil Nas X single J Christ,fits in,history of Christian imagery,"['lil nas x', 'j christ']",['christian imagery'],lil nas x,Christian Imagery,Lil Nas X,Christian Imagery
176,20,Lil Nas X J Christ,fits in,history of imagery in pop music,['lil nas x j christ'],['pop music'],lil nas x j christ,Broadway music,Lil Nas X,Broadway Music
183,21,Former Lululemon employees,call,company 's response to founder Chip Wilson 's comments on DEI ' slap in face,['lululemon'],"[""company 's response"", 'chip wilson', ""'s comments"", 'dei']",Lululemon,company  response,Lululemon,Company  Response
196,21,Lululemon,has,has long plagued with diversity issues,['lululemon'],['diversity issues'],Lululemon,diversity,Lululemon,Diversity
201,22,Aunts,play,surprisingly critical role,['aunts'],['critical role'],aunts,critical role,Aunts,Critical Role
203,22,Aunts,play role in,LGBTQ youth,['aunts'],['lgbtq'],aunts,lgbtq,Aunts,Lgbtq
211,24,Florida School Board,Sued for,Pulling Dictionaries,"['florida', 'school board']",['dictionaries'],Florida,Dictionaries,Florida,Dictionaries
216,24,Florida School Board,Sued in,Latest War,"['florida', 'school board']",['latest'],Florida,latest,Florida,Latest
220,25,RSV shots,recommendations,new meningitis vaccine,['rsv'],['new meningitis vaccine'],rsv,new meningitis vaccine,Rsv,Meningitis Vaccine
221,25,RSV shots,recommendations,COVID 19 jab,['rsv'],['covid'],rsv,covid,Rsv,Covid
223,25,New vaccine recommendations,include,RSV shots,['new vaccine recommendations'],['rsv'],new vaccine recommendations,rsv,New Vaccine Recommendations,Rsv
