,news_id,subject,relation,object
0,0,Pope Francis,Calls,Deplorable
1,0,Catholic leader ’s stance,is,likely
2,0,many members,have relied on,practice
3,0,members,have,their children
4,0,leader ’s stance,roil,LGBT community
5,0,Catholic leader,’s,stance on surrogacy
6,0,members,have,their own children
7,0,leader ’s stance,is,likely
8,0,members,have relied on,practice
9,0,many members,have,their own children
10,0,Catholic leader ’s stance,roil,LGBT community
11,0,many members,have,their children
12,1,France,Has,Historic New Prime Minister
13,1,France,Has,Historic Prime Minister
14,1,France,Has,New Prime Minister
15,1,France,Has,Prime Minister
16,1,Attal,is,youngest
17,2,governor,has,veto
18,2,Ohio House votes,override,sports ban
19,2,Ohio House votes,override,governor 's veto
20,2,Ohio House votes,override sports ban on,trans care
21,2,Ohio House,override,Gov. Mike DeWine ’s veto
22,2,Gov. Mike DeWine,’s,veto
23,4,Ohio House,overrides,DeWine ’s veto of bill
24,4,DeWine,’s,veto of bill banning
25,4,Ohio House,overrides,DeWine ’s veto
26,4,state Senate,will convene in,January
27,4,state Senate,will convene later in,January
28,5,Our Flag,Means Death runs aground,queer pirate comedy Max show
29,5,queer pirate comedy Max,show,cancelled
30,5,Our Flag,Means Death runs,as queer pirate comedy Max show
31,5,queer pirate comedy Max,cancelled after,2 seasons
32,5,Our Flag,Means Death runs aground,as queer pirate comedy Max show
33,5,Our Flag,Means,Death runs
34,5,Our Flag,Means aground,Death runs
35,5,queer pirate comedy Max,show,cancelled after 2 seasons
36,5,Our Flag,Means Death runs,queer pirate comedy Max show
37,5,Max 's beloved comedy pirate series,has,has sunk by Warner Bros.
38,5,Max,has,beloved comedy pirate series
39,5,Max 's comedy pirate series,has,has sunk by Warner Bros.
40,6,government,bans,its company
41,6,government,bans,its first company
42,6,settlement,is,FTC ’s first ban on selling sensitive location data
43,6,settlement,is,FTC ’s first ban on selling location data
44,6,settlement,is,FTC ’s first ban on location data
45,6,settlement,is,FTC ’s ban on location data
46,6,settlement,is,FTC ’s ban
47,6,settlement,is,FTC ’s ban on selling sensitive location data
48,6,settlement,is,FTC ’s first ban
49,6,FTC,’s,first ban on selling sensitive location data
50,6,settlement,is,FTC ’s ban on selling location data
51,6,settlement,is,FTC ’s first ban on sensitive location data
52,6,settlement,is,FTC ’s ban on sensitive location data
53,7,France,gets,Gabriel Attal
54,7,France,gets,its minister
55,7,France,gets,its ever prime minister
56,7,France,gets,its prime minister
57,7,its,minister,Gabriel Attal
58,7,France,gets,its ever minister
59,7,Gabriel Attal,has as,has France ’s ever minister
60,7,Gabriel Attal,has as,has France ’s ever prime minister
61,7,Gabriel Attal,has as,has France ’s minister
62,7,Gabriel Attal,has as,has France ’s prime minister
63,8,Russian court,banned,something
64,8,it,changed,peoples ' lives
65,8,court,banned,something
66,8,international LGBT movement,will,From today will considered
67,8,LGBT movement,will,will considered
68,8,extremist organisation,is in,Russia
69,8,extremist organisation,is in,development
70,8,LGBT movement,will,From today will considered
71,8,international LGBT movement,will,will considered
72,9,France,’s,youngest prime minister
73,9,Gabriel Attal,becomes,France ’s youngest prime minister
74,9,Gabriel Attal,becomes,France ’s prime minister
75,9,Gabriel Attal,becomes,France ’s youngest minister
76,9,Gabriel Attal,becomes,France ’s minister
77,10,I,take on jobs along,way
78,10,I,take on,jobs
79,10,John Barnhart,is,millennial
80,10,his favorite jobs,is in,Hawaii
81,10,He,found,his jobs in Hawaii
82,10,He,found,his favorite jobs in Hawaii
83,10,He,found,his favorite jobs
84,10,He,found,his jobs
85,11,Chris Christie,end,his 2024 presidential campaign
86,11,Chris Christie,end,his 2024 campaign
87,11,Former New Jersey Gov. Chris Christie,is ending,his 2024 campaign against Trump
88,11,Former New Jersey Gov. Chris Christie,is ending,his 2024 campaign
89,11,Former New Jersey Gov. Chris Christie,is ending,his 2024 presidential campaign
90,11,Former New Jersey Gov. Chris Christie,is ending,his 2024 presidential campaign against Trump
91,12,Louisiana,over,ban on gender affirming health care
92,12,Trans youth,sue over,Louisiana 's ban on gender affirming health care
93,12,Trans youth,sue over,Louisiana 's ban
94,12,Trans youth,sue over,Louisiana 's ban on health care
95,12,Trans youth,sue over,Louisiana 's ban on affirming health care
96,12,children,has,health choices
97,13,Mexico president,apologizes for,trans lawmaker man dressed as woman
98,13,Mexico president,apologizes for,trans lawmaker man
99,13,Mexico president,apologizes for,trans lawmaker man dressed
100,13,Mexico president,apologizes for,calling trans lawmaker man dressed as woman
101,13,Mexico president,apologizes for,calling trans lawmaker man dressed
102,13,Mexico president,apologizes for,calling trans lawmaker man
103,13,Mexico President Andres Manuel Lopez Obrador,apologized for,representative
104,13,Mexico President Andres Manuel Lopez Obrador,apologized for,transgender representative of his party
105,13,Mexico President Andres Manuel Lopez Obrador,apologized for,Salma Luevano
106,13,Mexico President Andres Manuel Lopez Obrador,apologized on,Tuesday
107,13,Mexico President Andres Manuel Lopez Obrador,apologized for,representative of his political party
108,13,Mexico President Andres Manuel Lopez Obrador,apologized for,misgendering Salma Luevano
109,13,Mexico President Andres Manuel Lopez Obrador,apologized for,transgender representative
110,13,Mexico President Andres Manuel Lopez Obrador,apologized for,transgender representative of his political party
111,13,misgendering Salma Luevano,representative of,his political party
112,13,Mexico President Andres Manuel Lopez Obrador,apologized for,representative of his party
113,14,Barton comments dangerous,says,sports minister
114,14,Barton comments,says,sports minister
115,15,Christian Ziegler,ousted as,chair of Florida Republican Party
116,15,Ziegler,ousted as,chair
117,15,Ziegler,ousted after,rape allegation
118,15,Ziegler,ousted as,chair of Florida Republican Party
119,15,Christian Ziegler,ousted after,rape allegation
120,15,Christian Ziegler,ousted as,chair
121,15,their,chairman,Christian Ziegler
122,15,he,was,after accused
123,15,he,was accused of,rape
124,15,he,was,accused
125,15,he,was,after accused of rape
126,15,Florida Republicans,remove,Christian Ziegler
127,15,Florida Republicans,remove,their state party chairman
128,16,Bill Ackman,Is,Fighting
129,16,Everyone Bill Ackman,Is,Fighting
130,16,Harvard president Claudine Gay,University of,Pennsylvania
131,17,Andrew Scott,was startled by,his vulnerability
132,17,Andrew Scott,was startled by,his vulnerability in
133,17,Andrew Scott,plays,lonely screenwriter working
134,17,Andrew Scott,plays,lonely gay screenwriter working
135,17,Andrew Scott,plays,gay screenwriter working
136,17,Andrew Scott,plays,gay screenwriter working on script about his childhood
137,17,Andrew Scott,plays,lonely screenwriter working on script
138,17,Andrew Scott,plays,screenwriter
139,17,Andrew Scott,plays,gay screenwriter
140,17,Andrew Scott,plays,lonely gay screenwriter working on script
141,17,Andrew Scott,plays,lonely gay screenwriter
142,17,Andrew Scott,plays,screenwriter working
143,17,Andrew Scott,plays,lonely screenwriter working on script about his childhood
144,17,Andrew Haigh,In,new film
145,17,Andrew Scott,plays,lonely gay screenwriter working on script about his childhood
146,17,Andrew Scott,plays,lonely screenwriter
147,17,Andrew Scott,plays screenwriter In,Andrew Haigh ’s new film
148,17,Andrew Scott,plays,gay screenwriter working on script
149,17,Andrew Scott,plays screenwriter In,Andrew Haigh ’s film
150,17,Andrew Scott,plays,screenwriter working on script about his childhood
151,17,Andrew Scott,plays,screenwriter working on script
152,18,Pro League,improved,new Plymouth boss
153,18,Pro League,improved,Plymouth boss
154,18,Saudi Pro League,improved,new Plymouth boss
155,18,Saudi Pro League,improved,Plymouth boss
156,18,New Plymouth Argyle head coach Ian Foster,tells,BBC Sport
157,18,his time,improved,him
158,18,his time,is in,Saudi Pro League
159,19,Transgender Health Care,Restrict Endure in,2024
160,19,Efforts,Restrict Endure in,2024
161,19,state legislatures,are considering,new round
162,19,led state legislatures,are considering,new round of bills
163,19,state legislatures,are considering,round of bills
164,19,state legislatures,adults in,cases
165,19,led state legislatures,are considering,round of bills
166,19,state legislatures,are considering,new round of bills
167,19,led state legislatures,adults in,cases
168,19,led state legislatures,are considering,round
169,19,led state legislatures,are considering,new round
170,19,state legislatures,are considering,round
171,20,Lil Nas X Repurposes Christian Imagery,is in,J Christ
172,20,Lil Nas X J Christ,fits in,history of imagery
173,20,Lil Nas X single J Christ,fits in,history of Christian imagery
174,20,Lil Nas X single J Christ,fits in,history
175,20,Lil Nas X J Christ,fits in,history of Christian imagery in pop music
176,20,Lil Nas X J Christ,fits in,history of imagery in pop music
177,20,Lil Nas X J Christ,fits in,history
178,20,Lil Nas X single J Christ,fits in,history of imagery in pop music
179,20,Christian imagery,is in,pop music
180,20,Lil Nas X single J Christ,fits in,history of imagery
181,20,Lil Nas X single J Christ,fits in,history of Christian imagery in pop music
182,20,Lil Nas X J Christ,fits in,history of Christian imagery
183,21,Former Lululemon employees,call,company 's response to founder Chip Wilson 's comments on DEI ' slap in face
184,21,Former Lululemon employees,call,company 's response to founder Chip Wilson 's comments on DEI ' slap in face to people
185,21,Former Lululemon employees,call,company 's response to founder Chip Wilson 's comments on DEI ' slap to people
186,21,Former Lululemon employees,call,company 's response
187,21,Former Lululemon employees,call,company 's response to founder Chip Wilson 's comments on DEI ' slap to people of color
188,21,DEI ' slap,is in,face
189,21,company,has,response to comments on slap in face to people of color
190,21,founder Chip Wilson,to,comments on slap in face to people of color
191,21,Former Lululemon employees,call,company 's response to founder Chip Wilson 's comments on DEI ' slap
192,21,DEI,on,slap in face to people of color
193,21,Former Lululemon employees,call,company 's response to founder Chip Wilson 's comments
194,21,Former Lululemon employees,call,company 's response to founder Chip Wilson 's comments on DEI ' slap in face to people of color
195,21,Lululemon,has,has long plagued
196,21,Lululemon,has,has long plagued with diversity issues
197,21,Lululemon,has,has plagued
198,21,Lululemon,has,has plagued with diversity issues
199,21,Current employees,are calling for,change
200,21,employees,are calling for,change
201,22,Aunts,play,surprisingly critical role
202,22,Aunts,play role in,youth
203,22,Aunts,play role in,LGBTQ youth
204,22,Aunts,play,critical role
205,22,Aunts,play role in,supporting youth
206,22,Aunts,play role in,supporting LGBTQ youth
207,22,Aunts,play,role
208,22,aunts,play,role
209,22,aunts,play,crucial role
210,23,their characters ' sexualities,is in,adaptation of the beloved
211,24,Florida School Board,Sued for,Pulling Dictionaries
212,24,Florida School Board,Sued in,War
213,24,Florida School Board,Sued for,Dictionaries
214,24,Florida School Board,Sued for,Pulling Dictionaries From Shelves
215,24,Florida School Board,Sued in,War on Books
216,24,Florida School Board,Sued in,Latest War
217,24,Florida School Board,Sued in,Latest War on Books
218,24,Florida School Board,Sued for,Dictionaries From Shelves
219,25,New Vaccines,Get in,2024
220,25,RSV shots,recommendations,new meningitis vaccine
221,25,RSV shots,recommendations,COVID 19 jab
222,25,RSV shots,recommendations,meningitis vaccine
223,25,New vaccine recommendations,include,RSV shots
224,25,RSV shots,recommendations,latest COVID 19 jab
225,26,Ohio House,overrides,governor 's veto of care ban
226,26,governor,has,veto of gender affirming care ban
227,26,Ohio House,overrides,governor 's veto of affirming care ban
228,26,Ohio House,overrides,governor 's veto
229,26,Ohio House,overrides,governor 's veto of gender affirming care ban
230,26,women,on,sports teams
231,26,law,bars,transgender girls
232,26,law,would ban,types of affirming care for those under 18
233,26,law,would ban,types for those
234,26,law,also bars girls from,playing on women 's sports teams
235,26,law,bars,girls
236,26,law,bars girls from,playing on women 's sports teams
237,26,law,bars girls from,playing
238,26,law,would ban,types of care for those
239,26,law,also bars,girls
240,26,law,also bars,transgender girls
241,26,law,would ban,types of affirming care for those
242,26,law,would ban,types of gender affirming care for those
243,26,law,also bars girls from,playing
244,26,law,would ban,types of care for those under 18
245,26,law,would ban,types of gender affirming care for those under 18
246,26,law,would ban,types of gender affirming care
247,26,law,would ban,types of affirming care
248,26,law,would ban,types
249,26,law,would ban,types of care
250,26,law,would ban,types for those under 18
251,27,Family,sues,school district over law
252,27,Family,sues,school district
253,27,family,has added as,defendant in lawsuit
254,27,family,has added as,defendant
255,27,South Florida school district,family of,volleyball player
256,27,family,has added as,defendant in federal lawsuit
257,27,family,has added,South Florida school district
258,27,defendant,is in,federal lawsuit
259,27,family,has added South Florida school district as,defendant in lawsuit
260,27,family,has added South Florida school district as,defendant in federal lawsuit
261,27,family,has added South Florida school district as,defendant
262,27,South Florida school district,family of,transgender volleyball player
263,28,Schiff,has,TV ad targets
264,28,California Katie Porter,are vying in,spots for their U.S. Senate race
265,28,California Katie Porter,are vying in,spots
266,28,Adam Schiff,are vying for,same audience
267,28,California Katie Porter,are vying for,same audience
268,28,Adam Schiff,are vying in,spots for their U.S. Senate race
269,28,California Katie Porter,are vying for,audience
270,28,Adam Schiff,are vying for,audience
271,28,Adam Schiff,are vying in,spots
272,29,Our Flag,Means,Death
273,29,Our Flag,Means,Death
274,30,Alabama,can enforce,ban
275,30,Alabama,can enforce,ban on care
276,30,Alabama,can enforce,ban on care for trans minors
277,30,Alabama,can enforce,ban on affirming care for trans minors
278,30,Alabama,can enforce,ban on gender affirming care
279,30,Alabama,can enforce,ban on gender affirming care for trans minors
280,30,Alabama,can enforce,ban for trans minors
281,30,Alabama,can enforce,ban on affirming care
282,30,state,’s,request
283,30,use,treat,people
284,30,use,treat people under,19
285,30,state ’s request,stay,injunction
286,30,appeals court,granting,state ’s request
287,30,federal appeals court,granting,state ’s request
288,30,use,treat,transgender people
289,30,state ’s request,stay,preliminary injunction
290,31,Caitlyn Jenner,Lashes Out at,Disney
291,31,Disney,Jenner,its CEO
292,31,Caitlyn Jenner,blaming company for,her exclusion from Kardashians reality show
293,31,Caitlyn Jenner,slammed,Disney
294,31,Caitlyn Jenner,blaming,company
295,31,Caitlyn Jenner,blaming company for,her exclusion
296,32,People,are,to unemployed
297,32,People,are,unemployed
298,32,People,are,about to unemployed
299,32,People,are,about unemployed
300,32,decent American,should cheer,news
301,33,Highest,Surges in,Gender Dysphoria
302,33,dysphoria,is strong,distress
303,33,person,believes,their sex
304,33,person,believes,their biological sex
305,34,Netflix,removed,Indian film
306,34,viewers,criticized,characters
307,34,religious viewers,criticized,meat eating characters
308,34,viewers,criticized,eating characters
309,34,Netflix,removed,film
310,34,religious viewers,criticized,characters
311,34,religious viewers,criticized,eating characters
312,34,viewers,criticized,meat eating characters
313,34,wing Hindu group,filed,complaint
314,34,Hindu group,filed,complaint
315,35,Ariana DeBose,slams,Critics Choice Awards joke about her singing abilities
316,35,Ariana DeBose,slams,Critics Choice Awards joke
317,35,Academy Award winning actor Ariana DeBose,appeared,insulted by joke
318,35,Academy Award actor Ariana DeBose,appeared,insulted by joke
319,35,Academy Award winning actor Ariana DeBose,appeared,visibly insulted by joke
320,35,Academy Award actor Ariana DeBose,appeared,visibly insulted
321,35,Academy Award actor Ariana DeBose,insulted by,joke
322,35,Academy Award actor Ariana DeBose,visibly insulted by,joke
323,35,Academy Award winning actor Ariana DeBose,appeared,visibly insulted
324,35,Academy Award winning actor Ariana DeBose,insulted by,joke
325,35,Academy Award actor Ariana DeBose,appeared,visibly insulted by joke
326,35,Academy Award actor Ariana DeBose,appeared,insulted
327,35,Academy Award winning actor Ariana DeBose,appeared,insulted
328,35,Academy Award winning actor Ariana DeBose,visibly insulted by,joke
329,36,Mastodon instance,disappeared because,Taliban
330,36,queer.af,disappeared because,Taliban
331,36,Afghanistan Taliban government,disabled,its domain
332,36,Mastodon instance,was of,surprised
333,37,Ohio Secretary Republican candidate Frank LaRose,has,pro-LGBTQ agenda
334,37,Donald Trump Jr. ad,exposing,Ohio Secretary Republican candidate Frank LaRose 's pro-LGBTQ agenda
335,37,Donald Trump Jr.,highlighted ad on,Monday
336,37,Donald Trump Jr. ad,exposing,Ohio Secretary of State Republican candidate Frank LaRose 's pro-LGBTQ agenda
337,37,Donald Trump Jr.,highlighted,ad
338,38,Polish state TV host,decries,past anti-LGBT output
339,38,Polish state TV host,decries,past output
340,38,state TV host,decries,past output
341,38,state TV host,decries,past anti-LGBT output
342,38,Wojciech Szelag,apologised for,TVP Info channel 's hateful words targeted at them
343,38,Wojciech Szelag,apologised for,TVP Info channel 's hateful words
344,38,Wojciech Szelag,apologised for,TVP Info channel 's hateful words targeted
345,38,Wojciech Szelag,apologised to,LGBT people
346,38,Wojciech Szelag,apologised for,TVP Info channel 's words targeted at them
347,38,TVP Info channel,for,hateful words targeted at them
348,38,Wojciech Szelag,apologised for,TVP Info channel 's words
349,38,Wojciech Szelag,apologised to,people
350,38,Wojciech Szelag,apologised for,TVP Info channel 's words targeted
351,39,He,Gets,Us
352,39,Super Bowl watchers,see For,year
353,39,Super Bowl watchers,see For,2nd straight year
354,39,Super Bowl watchers,see For,2nd year
355,39,Super Bowl watchers,see For,straight year
356,39,year ’s ads,were overseen by,donor to legal organization
357,39,year ’s ads,were overseen by,donor to organization
358,39,Last year ’s ads,were overseen by,donor to legal organization
359,39,Last year ’s ads,were overseen by,donor to organization
360,39,Last year,’s,ads
361,39,Last year ’s ads,were overseen by,donor
362,39,year ’s ads,were overseen by,donor
363,40,Something,Say,Chiefs Super Bowl Win
364,40,Something,Say,About Chiefs Super Bowl Win
365,40,Bud Light,Has,Something
366,40,beer brand,took time,has surrounded by controversy
367,40,beer brand,took time,While has surrounded by controversy in recent months
368,40,Bud Light,has,has surrounded by controversy in months
369,40,beer brand,took time,While has surrounded by controversy
370,40,beer brand,took time,has surrounded by controversy in months
371,40,beer brand,took,time
372,40,Bud Light,has,While has surrounded by controversy
373,40,beer brand,took time,has surrounded by controversy in recent months
374,40,beer brand,took time,While has surrounded by controversy in months
375,40,Bud Light,has,has surrounded by controversy in recent months
376,40,time,weigh in on,Kansas City Chiefs victory
377,40,Bud Light,has,While has surrounded by controversy in recent months
378,40,Bud Light,has,While has surrounded by controversy in months
379,40,Bud Light,has,has surrounded by controversy
380,41,Taylor Swift 's Super Bowl Shoe Detail,Sends Internet Into,Meltdown
381,41,Taylor Swift 's Super Bowl Shoe Detail,Sends,Internet
382,41,Taylor Swift,has,Super Bowl Shoe Detail
383,41,Travis Kelce,show,her support
384,41,Swift,went out,Travis Kelce
385,41,Swift,went out,all
386,41,Travis Kelce,show,her support for her man
387,42,Randi Mahomes,shared edition merchandise on,media
388,42,Randi Mahomes,shared,edition merchandise
389,42,Randi Mahomes,even gave,discount code
390,42,Randi Mahomes,shared edition merchandise on,social media
391,42,Randi Mahomes,shared,limited edition merchandise
392,42,Randi Mahomes,even gave,fans
393,42,Randi Mahomes,gave,fans
394,42,Randi Mahomes,gave,discount code
395,43,Travis Kelce,Gesture at,Super Bowl Afterparty
396,43,Taylor Swift,has,Heartwarming Gesture at Super Bowl Afterparty
397,43,Kelce,danced to,one her songs
398,43,pair,partied at_time,night
399,43,pair,shared,their affection
400,43,Kelce,danced to,one of her songs
401,44,This,Is,Insane
402,44,Taylor Swift Lucky Number Super Bowl Stats,Go,Viral
403,44,her number,reveal,her album
404,44,Swift,used,her lucky number
405,44,her lucky number,reveal,her album
406,44,it,has,compared
407,44,her number,reveal,her new album
408,44,it,has,now compared to NFL stats
409,44,it,has,now compared
410,44,it,has,compared to NFL stats
411,44,Swift,used,her number
412,44,her lucky number,reveal,her new album
413,45,Super Bowl Fans,Outraged Over,Justin Bieber
414,45,former,in,Super Bowl halftime performance
415,45,he,appear in,former 's Super Bowl halftime performance
416,45,Usher,signed Justin Bieber to,his record label
417,45,Usher,signed,Justin Bieber
418,45,Usher,signed Justin Bieber in,2009
419,46,Lip Readers,De-Code,Taylor Swift Super Bowl Chat
420,46,Lip Readers,De-Code,Kylie Kelce
421,46,pair,were spotted in,private suite chatting with Swift 's dad
422,46,pair,were spotted in,private suite
423,46,pair,were spotted in,private suite chatting
424,46,Swift,with,dad
425,46,pair,were spotted in,suite chatting with Swift 's dad
426,46,pair,were spotted in,suite
